cycle,log_sum,profit_multiplier,timestamp,date
HKD → CHF → USD → HKD,-2.180715522329124e-05,1.000021807393001,2026-06-02 00:04:00,2026-06-02
USD → JPY → USD,-3.7579151089595086e-05,1.0000375798571948,2026-06-02 00:11:00,2026-06-02
HKD → CAD → HKD,-9.02427286986196e-06,1.0000090243135888,2026-06-02 00:13:00,2026-06-02
GBP → HKD → USD → GBP,-1.6122670554175045e-05,1.000016122800525,2026-06-02 00:26:00,2026-06-02
HKD → GBP → HKD,-1.6759859553072687e-05,1.0000167600000003,2026-06-02 00:37:00,2026-06-02
USD → JPY → USD,-3.7572562012755384e-05,1.0000375732678703,2026-06-02 00:39:00,2026-06-02
USD → GBP → USD,-2.8386597096752286e-05,1.000028387,2026-06-02 00:58:00,2026-06-02
JPY → USD → JPY,-6.263289916930148e-06,1.0000062633095315,2026-06-02 01:00:00,2026-06-02
USD → GBP → HKD → USD,-3.211939031810829e-05,1.0000321199061513,2026-06-02 01:05:00,2026-06-02
USD → JPY → USD,-5.636749100279559e-05,1.0000563690796798,2026-06-02 01:08:00,2026-06-02
JPY → HKD → USD → JPY,-4.047694605890939e-05,1.0000404777652616,2026-06-02 01:09:00,2026-06-02
JPY → HKD → USD → JPY,-1.0564111451394353e-05,1.0000105641672519,2026-06-02 01:11:00,2026-06-02
CHF → HKD → CHF,-5.559619025907736e-05,1.000055597735756,2026-06-02 01:12:00,2026-06-02
USD → JPY → USD,-8.881784197001252e-16,1.0000000000000009,2026-06-02 01:14:00,2026-06-02
GBP → HKD → USD → GBP,-4.687565559319262e-05,1.0000468767542738,2026-06-02 01:19:00,2026-06-02
USD → JPY → USD,-5.636784403773021e-05,1.0000563694327345,2026-06-02 01:20:00,2026-06-02
USD → JPY → USD,-4.383808714880644e-05,1.0000438390480517,2026-06-02 01:25:00,2026-06-02
GBP → USD → GBP,-4.9116793750469956e-05,1.000049118,2026-06-02 01:43:00,2026-06-02
USD → EUR → USD,-5.549984598840485e-06,1.00000555,2026-06-02 01:51:00,2026-06-02
